"Name","URL","Category","FetchedAt","HomepageStatus","V1_Artifact","V2_Independence","V3_Verifiability","V4_AIAccountability","V5_Pricing","V6_TechCrunch","V1_Risk_Terms_Hit","TrustPageCount","AISubprocessorMentions","PricingHasDollar","PricingHidden","Notes"
"Vanta","https://www.vanta.com","compliance","2026-05-18T18:24:56.554Z","200","risk","manual-review","pass","flag-no-mention","hidden","manual-review","audit-ready","4","","no","yes",""
"Drata","https://drata.com","compliance","2026-05-18T18:25:08.043Z","403","","","","","","","","0","","no","no","Homepage returned HTTP 403"
"Secureframe","https://secureframe.com","compliance","2026-05-18T18:25:09.127Z","200","risk","manual-review","pass","flag-no-mention","mixed","manual-review","get soc 2","8","","yes","yes",""
"Sprinto","https://sprinto.com","compliance","2026-05-18T18:25:21.426Z","200","likely-pass","manual-review","partial","flag-no-mention","no-signal","manual-review","","2","","no","no",""
"Conveyor","https://www.conveyor.com","compliance","2026-05-18T18:25:35.261Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"Tugboat Logic","https://www.tugboatlogic.com","compliance","2026-05-18T18:25:48.154Z","200","likely-pass","manual-review","pass","flag-no-mention","hidden","manual-review","","9","","no","yes",""
"Thoropass","https://thoropass.com","compliance","2026-05-18T18:25:59.200Z","200","risk","manual-review","partial","pass","no-signal","manual-review","audit-ready|audit ready","1","openai","no","no",""
"Probo","https://www.getprobo.com","compliance","2026-05-18T18:26:11.659Z","200","risk","manual-review","partial","flag-no-mention","no-pricing-page","manual-review","get soc 2|audit-ready","2","","no","no","No /pricing or /plans page reachable for V5 audit"
"AccessiBE","https://accessibe.com","accessibility","2026-05-18T18:26:24.863Z","200","likely-pass","manual-review","pass","flag-no-mention","hidden","manual-review","","3","","no","yes",""
"AudioEye","https://www.audioeye.com","accessibility","2026-05-18T18:26:51.489Z","429","","","","","","","","0","","no","no","Homepage returned HTTP 429"
"UserWay","https://userway.org","accessibility","2026-05-18T18:26:52.824Z","200","likely-pass","manual-review","partial","flag-no-mention","no-signal","manual-review","","1","","no","no",""
"Reciteme","https://reciteme.com","accessibility","2026-05-18T18:27:06.565Z","200","likely-pass","manual-review","fail","flag-no-mention","no-pricing-page","manual-review","","0","","no","no","No /pricing or /plans page reachable for V5 audit"
